epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.708,1.68906,1.90544,1.15895,0.60763,0.29881,0.27435,0.14211,1.43607,0.97098,1.03932,0.000195784,0.000195784,0.000195784
2,259.332,1.55961,1.23121,1.11442,0.65359,0.30916,0.33859,0.17748,1.39415,0.87605,1.0127,0.000262495,0.000262495,0.000262495
3,378.654,1.50395,1.08843,1.093,0.64975,0.35547,0.38581,0.20315,1.3708,0.81497,0.99681,0.000199847,0.000199847,0.000199847
