epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.734,1.71169,1.78852,1.19318,0.62307,0.34642,0.35679,0.18265,1.5557,1.09004,1.12987,0.000195895,0.000195895,0.000195895
2,522.68,1.59192,1.19281,1.15212,0.62377,0.37933,0.39995,0.20173,1.50791,1.00872,1.11159,0.00026257,0.00026257,0.00026257
3,768.993,1.53844,1.06742,1.12778,0.77608,0.40709,0.45018,0.23337,1.46745,0.94255,1.08352,0.000199884,0.000199884,0.000199884
