epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.957,1.68906,1.90544,1.15895,0.60763,0.29881,0.27435,0.14211,1.43607,0.97098,1.03932,0.000195784,0.000195784,0.000195784
2,249.478,1.57844,1.2426,1.12352,0.63343,0.32635,0.33803,0.17423,1.40855,0.90128,1.02486,0.000378855,0.000378855,0.000378855
3,366.903,1.55316,1.12008,1.11906,0.66614,0.31942,0.36701,0.19132,1.40639,0.88675,1.02454,0.00054899,0.00054899,0.00054899
4,482.673,1.52946,1.0549,1.11336,0.70361,0.35105,0.39887,0.20405,1.38204,0.83636,1.01707,0.000529788,0.000529788,0.000529788
5,599.653,1.50246,1.00751,1.09942,0.67048,0.37757,0.42444,0.23092,1.35254,0.79028,1.00371,0.000510384,0.000510384,0.000510384
6,717.514,1.47913,0.97569,1.09052,0.7107,0.39097,0.42794,0.22424,1.37657,0.83082,1.01363,0.00049098,0.00049098,0.00049098
7,834.128,1.46249,0.95032,1.08409,0.73163,0.39603,0.4642,0.24711,1.35043,0.77634,1.00548,0.000471576,0.000471576,0.000471576
8,950.918,1.44973,0.92968,1.0786,0.80154,0.40338,0.46879,0.2507,1.34575,0.7545,1.00347,0.000452172,0.000452172,0.000452172
9,1069.11,1.43264,0.91237,1.07283,0.76631,0.41945,0.47831,0.26085,1.34053,0.74366,0.99697,0.000432768,0.000432768,0.000432768
10,1187.48,1.42627,0.89943,1.06986,0.73905,0.41342,0.50175,0.27523,1.30621,0.72714,0.98791,0.000413364,0.000413364,0.000413364
11,1304.1,1.41344,0.88413,1.06586,0.82944,0.43067,0.52142,0.28951,1.30778,0.71135,0.98836,0.00039396,0.00039396,0.00039396
12,1420.37,1.40824,0.87083,1.06229,0.8348,0.43331,0.52049,0.28303,1.29784,0.70533,0.98211,0.000374556,0.000374556,0.000374556
13,1536.5,1.39876,0.86386,1.05747,0.83604,0.43967,0.55576,0.30689,1.29168,0.68954,0.97869,0.000355152,0.000355152,0.000355152
14,1653.24,1.39346,0.85835,1.05502,0.84764,0.45143,0.5611,0.30883,1.28958,0.69248,0.97954,0.000335748,0.000335748,0.000335748
15,1770.46,1.38397,0.8437,1.05189,0.83779,0.46278,0.57023,0.3129,1.28027,0.67206,0.97637,0.000316344,0.000316344,0.000316344
16,1888.67,1.36809,0.82881,1.04409,0.70389,0.53882,0.58258,0.3264,1.2755,0.66641,0.97494,0.00029694,0.00029694,0.00029694
17,2005.87,1.36617,0.82167,1.04423,0.75615,0.53703,0.59498,0.32844,1.28091,0.67449,0.97397,0.000277536,0.000277536,0.000277536
18,2122.11,1.36394,0.82059,1.04043,0.842,0.48456,0.58981,0.32467,1.26603,0.67464,0.9737,0.000258132,0.000258132,0.000258132
19,2239.08,1.35188,0.80855,1.03564,0.75314,0.54161,0.60756,0.33495,1.26376,0.65991,0.97053,0.000238728,0.000238728,0.000238728
20,2356.37,1.3446,0.80173,1.03416,0.86471,0.48671,0.6045,0.33438,1.25715,0.6529,0.96811,0.000219324,0.000219324,0.000219324
21,2499.27,1.34883,0.78039,1.04634,0.79187,0.54569,0.60704,0.33879,1.25891,0.65328,0.96683,0.00019992,0.00019992,0.00019992
22,2614.01,1.33659,0.76985,1.04133,0.83458,0.54389,0.62576,0.35039,1.24602,0.64098,0.96141,0.000180516,0.000180516,0.000180516
23,2728.27,1.32355,0.75571,1.03763,0.85504,0.54045,0.63566,0.35081,1.24568,0.64003,0.96135,0.000161112,0.000161112,0.000161112
24,2842.27,1.31821,0.74853,1.03543,0.82596,0.55479,0.63262,0.35747,1.23999,0.63295,0.95943,0.000141708,0.000141708,0.000141708
25,2956.55,1.30714,0.73745,1.02952,0.85795,0.55151,0.64734,0.36411,1.23172,0.62622,0.95724,0.000122304,0.000122304,0.000122304
26,3071.83,1.3049,0.73265,1.02772,0.86298,0.54049,0.64812,0.36987,1.23206,0.62315,0.95687,0.0001029,0.0001029,0.0001029
27,3187.75,1.29071,0.71986,1.02284,0.86101,0.54998,0.64837,0.37037,1.2271,0.62036,0.95451,8.3496e-05,8.3496e-05,8.3496e-05
28,3302.41,1.28713,0.71739,1.02111,0.82829,0.58143,0.65983,0.37714,1.22572,0.62003,0.95415,6.4092e-05,6.4092e-05,6.4092e-05
29,3416.52,1.27766,0.70925,1.01783,0.83148,0.58282,0.66487,0.37727,1.22535,0.61393,0.9523,4.4688e-05,4.4688e-05,4.4688e-05
30,3530.65,1.27336,0.70249,1.01678,0.83494,0.58562,0.66681,0.38114,1.22209,0.61283,0.95153,2.5284e-05,2.5284e-05,2.5284e-05
